Date,River Discharge (cfs) - Average,American Shad
5/6,37582,0
5/7,33875,"1,479"
5/8,30848,"1,727"
5/9,29419,"3,652"
5/10,26554,"3,421"
5/11,28226,"2,307"
5/12,33155,"2,791"
5/13,37786,0
5/14,35567,"1,450"
5/15,35575,"1,265"
5/16,35482,"1,895"
5/17,27726,"4,524"
5/18,25797,"5,103"
5/19,24228,"7,415"
5/20,23060,"30,514"
5/21,32724,"10,348"
5/22,38452,0
5/23,34850,"5,845"
5/24,28378,0
5/25,24544,"34,132"
5/26,23149,"14,007"
5/27,21571,"27,230"
5/28,22864,"14,874"
5/29,25297,"9,285"
5/30,26322,"7,386"
5/31,25592,"7,845"
6/1,22093,"48,870"
6/2,19063,"25,772"
6/3,17668,"11,027"
6/4,16819,"5,467"
6/5,15336,"3,856"
6/6,15258,"2,568"
6/7,26352,"2,767"
6/8,29004,"2,853"
6/9,22342,"1,774"
6/10,16189,"2,102"
6/11,15178,"1,263"
6/12,14477,531
6/13,19426,"1,167"
6/14,17195,397
6/15,14655,704
6/16,13401,608
6/17,15413,261
6/18,16040,496
6/19,13313,327
6/20,11292,"1,001"
6/21,12365,219
6/22,23759,414
6/23,22838,311
6/24,20117,112
6/25,15455,0
6/26,11853,0
6/27,14258,244
6/28,17505,111
6/29,15170,152
6/30,11838,89
7/1,10971,82
7/2,14620,56
7/3,12657,48
7/4,10198,18
7/5,8532,31
7/6,10105,0
7/7,9090,0
7/8,7931,46
7/9,7399,9
7/10,8086,17
7/11,6855,70
7/12,6273,18
7/13,9605,0
7/14,8784,0
7/15,8627,8